Product Name,Product Score,Cancer Concern,Allergies & Immunotoxicity,Developmental and Reproductive Toxicity,Use Restrictions,Other Concerns
CI 45350 (D&C Yellow No. 7 or 8) Aluminum Lake,2,LOW,LOW,LOW,HIGH,"Use restrictions (high), Endocrine disruption (low), Non-reproductive organ system toxicity (low), and Irritation (skin, eyes, or lungs) (low)"
GUAR POWDER,1,LOW,LOW,LOW,LOW,
ORYZA SATIVA (RICE) PROTEIN,1,LOW,LOW,LOW,LOW,Use restrictions (low) and Contamination concerns (high)
BACILLUS/ SOYBEAN FERMENT EXTRACT,1,LOW,LOW,LOW,LOW,
BACKHOUSIA CITRIODORA LEAF EXTRACT,1,LOW,LOW,LOW,LOW,
CETEARETH-22,1,LOW,LOW,LOW,LOW,"Enhanced skin absorption, Use restrictions (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
CI 77000,1,LOW,MODERATE,LOW,LOW,Non-reproductive organ system toxicity (low)
GLYCERETH-7,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
OCTENIDINE HCL,1,LOW,LOW,LOW,LOW,
PAPAVER ORIENTALE (POPPY) SEED OIL,1,LOW,LOW,LOW,LOW,
ABIES BALSAMEA (BALSAM) NEEDLE OIL,1,LOW,LOW,LOW,HIGH,Use restrictions (high)
AMINOPROPYL PHENYL TRIMETHICONE,1,LOW,LOW,LOW,LOW,
CARTHAMUS TINCTORIUS SEED EXTRACT,1,LOW,LOW,LOW,LOW,
PARACHLORELLA BEIJERINCKII EXOPOLYSACCHARIDES,1,LOW,LOW,LOW,LOW,
DIISOBUTYL ADIPATE,1,LOW,LOW,LOW,LOW,
DIMETHYL SUCCINATE,1,LOW,LOW,LOW,LOW,
FORMALDEHYDE,0,HIGH,MODERATE,LOW,HIGH,"Use restrictions (high), Non-reproductive organ system toxicity (high), Irritation (skin, eyes, or lungs) (low), and Occupational hazards (high)"
SOLUM FULLONUM,1,LOW,LOW,LOW,LOW,
2-METHOXYMETHYL-P-AMINOPHENOL HCL,4,LOW,LOW,LOW,HIGH,Use restrictions (high)
FIBROIN,1,LOW,LOW,LOW,LOW,
ISOCETETH-25,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
ROSE POWDER,1,LOW,LOW,LOW,LOW,
ASTROCARYUM MURUMURU (PALM) BUTTER,1,LOW,LOW,LOW,LOW,
MYROTHAMNUS FLABELLIFOLIA EXTRACT,1,LOW,LOW,LOW,LOW,
STEARYL METHICONE,1,LOW,LOW,LOW,LOW,
AGAVE AMERICANA STEM EXTRACT,1,LOW,LOW,LOW,LOW,
MALUS DOMESTICA FRUIT EXTRACT,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
CARBON DIOXIDE,1,LOW,LOW,LOW,LOW,
HYDROLYZED WHEAT GLUTEN,1,LOW,LOW,LOW,LOW,Use restrictions (low)
JASMINUM OFFICINALE (JASMINE),1,LOW,LOW,LOW,LOW,
ORYZA SATIVA (BROWN RICE),1,LOW,LOW,LOW,LOW,Use restrictions (low) and Contamination concerns (high)
PHENYLETHYL BENZOATE,1,LOW,LOW,LOW,LOW,
STYRENE/ BUTADIENE COPOLYMER,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate)
TRITICUM VULGARE (WHEAT) BRAN,1,LOW,LOW,LOW,LOW,
VP/ ACRYLATES/ LAURYL METHACRYLATE COPOLYMER,1,LOW,LOW,LOW,LOW,
XANTHOPHYLL,1,LOW,LOW,LOW,LOW,"Multiple, additive exposure sources (low)"
C15-23 ALKANE,1,LOW,LOW,LOW,LOW,
HEDYCHIUM SPICATUM EXTRACT,1,LOW,LOW,LOW,LOW,
MICHELIA ALBA FLOWER OIL,1,LOW,LOW,LOW,LOW,
POLYGLYCERYL-10 DIISOSTEARATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
SAPINDUS MUKUROSSI,1,LOW,LOW,LOW,LOW,
SODIUM TAURINE LAURATE,1,LOW,LOW,LOW,LOW,
COPAIFERA OFFICINALIS (BALSAM COPAIBA) OIL,4,LOW,HIGH,LOW,LOW,"Endocrine disruption (low), Ecotoxicology (low), and Occupational hazards (high)"
CITRUS GLAUCA FRUIT EXTRACT,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
VIGNA ACONITIFOLIA SEED EXTRACT,1,LOW,LOW,LOW,LOW,
GALACTOARABINAN (LARCH TREE) EXTRACT,1,LOW,LOW,LOW,LOW,
POTASSIUM SUNFLOWERATE,1,LOW,LOW,LOW,LOW,
CAPROOYL TETRAPEPTIDE-3,1,LOW,LOW,LOW,LOW,
CAPSICUM ANNUUM (PAPRIKA) EXTRACT,1,LOW,LOW,LOW,LOW,Use restrictions (low)
GLYCERYL HYDROXYSTEARATE,1,LOW,LOW,LOW,MODERATE,"Enhanced skin absorption, Use restrictions (moderate), Irritation (skin, eyes, or lungs) (moderate), and Contamination concerns (high)"
HIBISCUS SABDARIFFA (ROSELLE) FLOWER WATER,1,LOW,LOW,LOW,LOW,
HYDROXYLATED LANOLIN,1,LOW,LOW,LOW,LOW,
OLEYL OLEATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
STELLARIA MEDIA (CHICKWEED),1,LOW,LOW,LOW,LOW,
TANNIC ACID,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate)
BASIC BLUE 3,5,MODERATE,LOW,LOW,HIGH,"Use restrictions (high), Non-reproductive organ system toxicity (low), and Irritation (skin, eyes, or lungs) (low)"
DIACETYL BOLDINE,1,LOW,LOW,LOW,LOW,
LAURALDEHYDE,1,LOW,LOW,LOW,LOW,
OCTYLDODECETH-16,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
PEG-60 LANOLIN,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
RICE FERMENT FILTRATE (SAKE),1,LOW,LOW,LOW,LOW,
STELLARIA MEDIA (CHICKWEED) INFUSION,1,LOW,LOW,LOW,LOW,
PRUNUS CERASUS FRUIT EXTRACT,1,LOW,LOW,LOW,LOW,
SODIUM COCOYL ALANINATE,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
POLYAMIDE-5,1,LOW,LOW,LOW,LOW,
WHITE SUGAR,1,LOW,LOW,LOW,LOW,
CALLUNA VULGARIS (HEATHER) EXTRACT,1,LOW,LOW,LOW,LOW,
EUPHRASIA OFFICINALIS (EYEBRIGHT),1,LOW,LOW,LOW,LOW,
EUTERPE OLERACEAE (ACAI) BERRY,1,LOW,LOW,LOW,LOW,
MICHELIA CHAMPACA (CHAMPACA) OIL,1,LOW,LOW,LOW,LOW,
TRIFOLIUM PRATENSE (RED CLOVER),1,LOW,LOW,LOW,LOW,
PHENYL METHICONE,1,LOW,LOW,LOW,LOW,
STEARAMINE OXIDE,1,LOW,LOW,LOW,LOW,Use restrictions (low) and Contamination concerns (high)
ALKYL ACRYLATES CROSSPOLYMER,1,LOW,LOW,LOW,LOW,
CANNABIS SATIVA (HEMP),1,LOW,LOW,LOW,HIGH,Use restrictions (high)
DIPENTAERYTHRITYL TETRAHYDROXYSTEARATE/ ISOSTEARATE,1,LOW,LOW,LOW,LOW,
LAURAMIDE DEA,1,LOW,LOW,LOW,MODERATE,"Use restrictions (moderate), Non-reproductive organ system toxicity (moderate), and Contamination concerns (high)"
ROSA CANINA (DOG ROSE),1,LOW,LOW,LOW,LOW,
TRICETEARETH 4 PHOSPHATE,1,LOW,LOW,LOW,LOW,"Enhanced skin absorption, Use restrictions (low), and Contamination concerns (high)"
TRIMETHYLSILYLAMODIMETHICONE,1,LOW,LOW,LOW,LOW,
ZANTHOXYLUM BUNGEANUM EXTRACT,1,LOW,LOW,LOW,LOW,
"2,5,6-TRIAMINO-4-PYRIMIDINOL SULFATE",1,LOW,LOW,LOW,LOW,Use restrictions (low)
DEXTRIN STEARATE,1,LOW,LOW,LOW,LOW,
LAURETH-4 CARBOXYLIC ACID,2,LOW,LOW,LOW,LOW,Contamination concerns (high)
SOPHORA JAPONICA BUD EXTRACT,1,LOW,LOW,LOW,LOW,
ETHYL 2-METHYLBUTYRATE,1,LOW,LOW,LOW,LOW,
ARTEMISIA UMBELLIFORMIS EXTRACT,1,LOW,LOW,LOW,LOW,
C10-16 ALKYL GLUCOSIDE,2,LOW,LOW,LOW,LOW,"Use restrictions (low), Endocrine disruption (low), and Irritation (skin, eyes, or lungs) (low)"
SORBITOL LAURATE,1,LOW,LOW,LOW,LOW,
4-O-TOLYLAZO-O-TOLUIDINE,4,MODERATE,MODERATE,LOW,LOW,Non-reproductive organ system toxicity (moderate)
THYMUS MASTICHINA (MARJORAM) OIL,1,LOW,LOW,LOW,LOW,
D&C Red No. 36 (CI 12085) Aluminum Lake,5,LOW,LOW,LOW,HIGH,"Use restrictions (high), Endocrine disruption (low), Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (moderate), and Ecotoxicology (low)"
FRAGARIA (STRAWBERRY),1,LOW,LOW,LOW,LOW,
FRANGULA ALNUS (GLOSSY BUCKTHORN) BARK EXTRACT,1,LOW,LOW,LOW,LOW,
GREEN CLAY,1,LOW,LOW,LOW,LOW,
TRIGONELLA FOENUM-GRAECUM SEED EXTRACT,1,LOW,LOW,LOW,LOW,
COLEUS FORSKOHLII ROOT EXTRACT,1,LOW,LOW,LOW,LOW,
"PERSEA GRATISSIMA (AVOCADO) OIL, HYDROGENATED",1,LOW,LOW,LOW,LOW,
SERENOA REPENS (SAW PALMETTO) EXTRACT,1,LOW,LOW,LOW,LOW,
ANGELICA SINENSIS (DONG QUAI) EXTRACT,1,LOW,LOW,LOW,LOW,
POTASSIUM PALMITOYL HYDROLYZED WHEAT PROTEIN,1,LOW,LOW,LOW,LOW,
SORBITAN SESQUISTEARATE,1,LOW,LOW,LOW,LOW,
2-METHYL-5-CYCLOHEXYLPENTANOL,1,LOW,LOW,LOW,LOW,
2-AMINO-3-HYDROXYPYRIDINE,4,LOW,LOW,LOW,HIGH,Use restrictions (high)
AZULENE,1,LOW,LOW,LOW,HIGH,Use restrictions (high)
METHYL GLUCOSE DIOLEATE,1,LOW,LOW,LOW,LOW,
MONARDA DIDYMA OIL,1,LOW,LOW,LOW,LOW,
PEG-2 STEARATE,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
PG-PROPYL SILANETRIOL,1,LOW,LOW,LOW,LOW,
POLYPERFLUOROMETHYLISOPROPYL ETHER,0,MODERATE,HIGH,HIGH,HIGH,"Use restrictions (high), Endocrine disruption (moderate), Persistence and bioaccumulation (high), Non-reproductive organ system toxicity (moderate), and Contamination concerns (high)"
SIMMONDSIA CHINENSIS (JOJOBA) BEADS,1,LOW,LOW,LOW,LOW,
TERPINEN-4-OL,1,LOW,LOW,LOW,LOW,
ORIGANUM MAJORANA (SWEET MARJORAM) LEAF OIL,1,LOW,LOW,LOW,LOW,"Multiple, additive exposure sources (low)"
PPG-2 DIMETHICONE,1,LOW,LOW,LOW,MODERATE,"Use restrictions (moderate), Non-reproductive organ system toxicity (low), and Contamination concerns (high)"
CARBOMER 940,1,LOW,LOW,LOW,LOW,
HIPPOPHAE RHAMNOIDES (SEA BUCKTHORN),1,LOW,LOW,LOW,LOW,
CAPRYLHYDROXAMIC ACID,1,LOW,LOW,LOW,LOW,
COCODIMONIUM HYDROXYPROPYL HYDROLYZED RICE PROTEIN,1,LOW,LOW,LOW,LOW,Use restrictions (low) and Contamination concerns (high)
MACADAMIA TERNIFOLIA (MACADAMIA) SEED EXTRACT,1,LOW,LOW,LOW,LOW,
PINUS (PINE) BARK EXTRACT,1,LOW,LOW,LOW,LOW,
POLYQUATERNIUM-46,1,LOW,LOW,LOW,LOW,
PRUNUS DOMESTICA (PLUM) SEED EXTRACT,1,LOW,LOW,LOW,LOW,
Acid Blue 9 (Uncertified FD&C Blue No. 1 or D&C Blue No. 4),0,MODERATE,LOW,LOW,HIGH,"Use restrictions (high), Neurotoxicity (low), Endocrine disruption (low), Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (moderate), Multiple, additive exposure sources (low), Irritation (skin, eyes, or lungs) (moderate), and Contamination concerns (high)"
CLADOSIPHON OKAMURANUS EXTRACT,1,LOW,LOW,LOW,LOW,
JUGLANS REGIA (PERSIAN WALNUT) SEED EXTRACT,1,LOW,LOW,LOW,LOW,
OENOCARPUS BATAUA FRUIT OIL,1,LOW,LOW,LOW,LOW,
PEG-30 PHYTOSTEROL,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
SIMMONDSIA CHINENSIS (JOJOBA) SEED WAX,1,LOW,LOW,LOW,LOW,
DAVIDSONIA PRURIENS FRUIT EXTRACT,1,LOW,LOW,LOW,LOW,
PALMITOYL GRAPEVINE SHOOT EXTRACT,1,LOW,LOW,LOW,LOW,
BAMBUSA ARUNDINACEA (BAMBOO),1,LOW,LOW,LOW,LOW,
MALT EXTRACT,1,LOW,LOW,LOW,LOW,
TRIHYDROXY PALMITAMIDOHYDROXYPROPYLMYRISTYLETHER,1,LOW,LOW,LOW,LOW,
ZINC ACETYLMETHIONATE,1,LOW,LOW,LOW,LOW,Persistence and bioaccumulation (moderate) and Non-reproductive organ system toxicity (low)
ACID RED 18,5,LOW,MODERATE,LOW,HIGH,"Use restrictions (high), Persistence and bioaccumulation (moderate), and Non-reproductive organ system toxicity (moderate)"
PROPYLENE GLYCOL ISOSTEARATE,1,LOW,LOW,LOW,LOW,Enhanced skin absorption
RUMEX CRISPUS (YELLOW DOCK) ROOT EXTRACT,1,LOW,LOW,LOW,LOW,
MENTHA ROTUNDIFOLIA LEAF EXTRACT,1,LOW,LOW,LOW,LOW,
PHASEOLUS ANGULARIS SEED POWDER,1,LOW,LOW,LOW,LOW,
Myrciaria dubia (CAMU CAMU),1,LOW,LOW,LOW,LOW,
VACCINIUM CORYMBOSUM (BLUEBERRY) SEED OIL,1,LOW,LOW,LOW,LOW,
HYDROLYZED CAESALPINIA SPINOSA GUM,1,LOW,LOW,LOW,LOW,
PHENYL T-BUTYLNITRONE (SPIN TRAP),1,LOW,LOW,LOW,LOW,
EUCALYPTUS RADIATA LEAF/ STEM OIL,1,LOW,LOW,LOW,LOW,
CORYLUS AMERICANA (AMERICAN HAZEL) SEED OIL,1,LOW,LOW,LOW,LOW,
CUCUMIS SATIVUS (CUCUMBER) JUICE,1,LOW,LOW,LOW,LOW,
HIBISCUS SABDARIFFA (ROSELLE) FLOWER,1,LOW,LOW,LOW,LOW,
MILK PROTEIN EXTRACT,1,LOW,LOW,LOW,LOW,
PEG-16 SOY STEROL,1,LOW,LOW,LOW,HIGH,"Use restrictions (high), Non-reproductive organ system toxicity (low), and Contamination concerns (high)"
POLYGLYCERYL-10 DIPALMITATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
QUATERNIUM-33,4,LOW,HIGH,LOW,LOW,"Neurotoxicity (low), Endocrine disruption (low), Non-reproductive organ system toxicity (moderate), and Ecotoxicology (low)"
AMMONIUM STYRENE/ ACRYLATES COPOLYMER,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
CORAL POWDER,1,LOW,LOW,LOW,LOW,
CRYPTOMERIA JAPONICA LEAF EXTRACT,1,LOW,LOW,LOW,LOW,
"HYDROXYETHYL-3,4-METHYLENEDIOXYANILINE HCL",5,MODERATE,LOW,LOW,HIGH,Use restrictions (high)
PEG-60 GLYCERYL ISOSTEARATE,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
PIMENTA DIOICA (ALLSPICE) LEAF EXTRACT,3,LOW,HIGH,LOW,LOW,Non-reproductive organ system toxicity (moderate)
POLYACRYLATE-1,1,LOW,LOW,LOW,LOW,
"ACETYLMETHIONINE, DL-",1,LOW,LOW,LOW,LOW,
C13-15 ALKANE (plant derived),1,LOW,LOW,LOW,LOW,
CINNAMON LEAF OIL,3,LOW,HIGH,LOW,LOW,
EPILOBIUM FLEISCHERI EXTRACT,1,LOW,LOW,LOW,LOW,
GIGARTINA STELLATA EXTRACT,1,LOW,LOW,LOW,LOW,
HELICHRYSUM ITALICUM (EVERLASTING) EXTRACT,1,LOW,LOW,LOW,LOW,
MANGOSTIN,1,LOW,LOW,LOW,LOW,
SALVIA OFFICINALIS (SAGE) LEAF OIL,1,LOW,LOW,LOW,LOW,
SWERTIA JAPONICA (SEMBURI) EXTRACT,1,LOW,LOW,LOW,LOW,
CETEARETH-6 OLIVATE,1,LOW,LOW,LOW,LOW,"Enhanced skin absorption, Use restrictions (low), and Contamination concerns (high)"
CRATAEGUS MONOGINA FLOWER EXTRACT,1,LOW,LOW,LOW,LOW,
DISODIUM LAUROAMPHODIPROPIONATE,1,LOW,LOW,LOW,LOW,
"ADENOSINE 5'-(TETRAHYDROGEN TRIPHOSPHATE), SODIUM SALT",1,LOW,LOW,LOW,LOW,
LEUCOJUM AESTIVUM BULB EXTRACT,1,LOW,LOW,LOW,LOW,
GLYCERETH-7-TRIACETATE,1,LOW,LOW,LOW,LOW,
HISTIDINE HCL,1,LOW,LOW,LOW,LOW,
LAMINARIA HYPERBOREA EXTRACT,1,LOW,LOW,LOW,LOW,
SQUALANE OIL,1,LOW,LOW,LOW,LOW,
JUGLANS REGIA (PERSIAN WALNUT) SEED OIL,1,LOW,LOW,LOW,LOW,
BUTYLPHTHALIMIDE,1,LOW,LOW,LOW,LOW,
C10-11 ISOPARAFFIN,1,LOW,LOW,LOW,LOW,Use restrictions (low)
CHAMAECYPARIS OBTUSA WATER,1,LOW,LOW,LOW,LOW,
HYDROXYPROPYLTRIMONIUM HYDROLYZED CASEIN,1,LOW,LOW,LOW,LOW,
MANIHOT UTILISSIMA LEAF EXTRACT,1,LOW,LOW,LOW,LOW,
METHOXY AMODIMETHICONE/ SILSESQUIOXANE COPOLYMER,1,LOW,LOW,LOW,LOW,
ASPALATHUS LINEARIS (ROOIBOS),1,LOW,LOW,LOW,LOW,
Tri(Polyglyceryl-3/ Lauryl) Hydrogenated Trilinoleate,1,LOW,LOW,LOW,LOW,
PICHIA/ RESVERATROL FERMENT EXTRACT,1,LOW,LOW,LOW,LOW,
ABIES BALSAMEA (BALSAM),1,LOW,LOW,LOW,HIGH,Use restrictions (high)
ALTHAEA OFFICINALIS (MARSHMALLOW),1,LOW,LOW,LOW,LOW,
CHOLESTERYL OLEYL CARBONATE,1,LOW,LOW,LOW,LOW,
GLYCYRRHIZA INFLATA (BATALIN) ROOT EXTRACT,4,LOW,LOW,MODERATE,LOW,"Neurotoxicity (low), Endocrine disruption (moderate), and Non-reproductive organ system toxicity (moderate)"
LARREA DIVARICATA (CREOSOTE BUSH) EXTRACT,1,LOW,LOW,LOW,LOW,
METHACRYLOYL ETHYL BETAINE/ ACRYLATES COPOLYMER,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
URTICA DIOICA (NETTLE) LEAF,1,LOW,LOW,LOW,LOW,
CITRUS AURANTIFOLIA (LIME) JUICE,1,LOW,LOW,LOW,MODERATE,"Use restrictions (moderate) and Irritation (skin, eyes, or lungs) (low)"
PEG-5 COCOMONIUM METHOSULFATE,1,LOW,LOW,LOW,HIGH,"Use restrictions (high), Non-reproductive organ system toxicity (low), and Contamination concerns (high)"
NELUMBO NUCIFERA (SACRED LOTUS) SEED EXTRACT,1,LOW,LOW,LOW,LOW,
N-PROLYL PALMITOYL TRIPEPTIDE-56 ACETATE,1,LOW,LOW,LOW,LOW,
AMYL CINNAMYL ALCOHOL,3,LOW,HIGH,LOW,MODERATE,Use restrictions (moderate)
CALCIUM THIOGLYCOLATE,2,LOW,MODERATE,LOW,HIGH,Use restrictions (high)
CODIUM TOMENTOSUM (ALGAE) EXTRACT,1,LOW,LOW,LOW,LOW,
HYDRASTIS CANADENSIS (GOLDENSEAL),1,LOW,LOW,LOW,LOW,
"1,10-DECANEDIOL",1,LOW,LOW,LOW,LOW,
SILK,1,LOW,LOW,LOW,LOW,
ISOPROPYLPHTHALIMIDE,1,LOW,LOW,LOW,LOW,
LANOLIN CERA,1,LOW,LOW,LOW,LOW,
MELISSA OFFICINALIS (LEMON BALM) WATER,1,LOW,LOW,LOW,LOW,
TEA-LACTATE,1,LOW,LOW,LOW,HIGH,Use restrictions (high)
TERMINALIA CHEBULA FRUIT EXTRACT,1,LOW,LOW,LOW,LOW,
ROSE HIP EXTRACT,1,LOW,LOW,LOW,LOW,
PEG/ PPG 120/ 10 TRIMETHYLOLPROPANE TRIOLEATE,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
PETROSELINUM SATIVUM (PARSLEY) OIL,1,LOW,LOW,LOW,LOW,
SHEA BUTTER AMIDOPROPYL BETAINE,1,LOW,LOW,LOW,HIGH,Use restrictions (high)
4-CHLORORESORCINOL,6,LOW,MODERATE,LOW,HIGH,Use restrictions (high) and Persistence and bioaccumulation (moderate)
HYDROGENATED TALLOW ACID,1,LOW,LOW,LOW,LOW,
NEPHRITE POWDER,1,LOW,LOW,LOW,LOW,
POTASSIUM COCOYL HYDROLYZED COLLAGEN,2,LOW,MODERATE,LOW,LOW,
PPG-6 DECYLTETRADECETH-30,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
SAPONINS,1,LOW,LOW,LOW,LOW,"Non-reproductive organ system toxicity (low) and Irritation (skin, eyes, or lungs) (low)"
SIMMONDSIA CHINENSIS (JOJOBA) SEED POWDER,1,LOW,LOW,LOW,LOW,
TRIMELLITIC ANHYDRIDE,3,LOW,MODERATE,LOW,LOW,"Non-reproductive organ system toxicity (moderate) and Irritation (skin, eyes, or lungs) (high)"
BORAGO OFFICINALIS (BORAGE),1,LOW,LOW,LOW,LOW,
DIBENZOXAZOYL NAPHTHALENE,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate) and Ecotoxicology (low)
LAURAMIDOPROPYL HYDROXYSULTAINE,1,LOW,LOW,LOW,LOW,"Irritation (skin, eyes, or lungs) (low)"
TRIFLUOROACETYL TRIPEPTIDE-2,0,MODERATE,HIGH,HIGH,HIGH,"Use restrictions (high), Endocrine disruption (moderate), Persistence and bioaccumulation (high), and Non-reproductive organ system toxicity (moderate)"
TRIMETHYLOLPROPANE TRIMETHACRYLATE,4,LOW,MODERATE,LOW,HIGH,Use restrictions (high)
TRIPEPTIDE-10 CITRULLINE,1,LOW,LOW,LOW,LOW,
8-HYDROXYQUINOLINE SULFATE,1,LOW,LOW,LOW,HIGH,"Use restrictions (high), Non-reproductive organ system toxicity (low), and Occupational hazards (high)"
ASPERGILLUS FERMENT,1,LOW,LOW,LOW,LOW,
CEDRUS DEODORA (HIMALAYAN CEDARWOOD) OIL,1,LOW,LOW,LOW,LOW,
IRIS PALLIDA (DALMATION IRIS) ROOT EXTRACT,1,LOW,LOW,LOW,LOW,
PLANT GLYCERIN,1,LOW,LOW,LOW,LOW,
PPG-10 METHYL GLUCOSE ETHER,1,LOW,LOW,LOW,LOW,
SELENIUM,8,LOW,LOW,MODERATE,HIGH,"Use restrictions (high), Persistence and bioaccumulation (high), Non-reproductive organ system toxicity (high), Ecotoxicology (low), and Occupational hazards (high)"
LYCOPODIUM CLAVATUM EXTRACT,1,LOW,LOW,LOW,LOW,
PRUNUS AMYGDALUS AMARA (BITTER ALMOND) SEED EXTRACT,4,LOW,HIGH,LOW,LOW,"Non-reproductive organ system toxicity (moderate), Ecotoxicology (low), and Occupational hazards (high)"
SODIUM PALMITOYL SARCOSINATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
BENZOGUANAMINE,1,LOW,LOW,LOW,LOW,"Non-reproductive organ system toxicity (low), Ecotoxicology (low), and Occupational hazards (high)"
INDIGOFERA TINCTORIA LEAF POWDER,1,LOW,LOW,LOW,LOW,
VACCINIUM VITIS-IDAEA FRUIT EXTRACT,1,LOW,LOW,LOW,LOW,
ZINC PHOSPHATE,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate) and Ecotoxicology (low)
SODIUM HYDROXYPROPYLPHOSPHATE DECYLGLUCOSIDE CROSSPOLYMER,1,LOW,LOW,LOW,LOW,
6-HYDROXYINDOLE,4,LOW,MODERATE,LOW,MODERATE,"Use restrictions (moderate), Ecotoxicology (low), Irritation (skin, eyes, or lungs) (high), and Occupational hazards (high)"
ALEURITES MOLUCCANUS (KUKUI) EXTRACT,1,LOW,LOW,LOW,LOW,
DISODIUM EDTA-COPPER,1,LOW,LOW,LOW,HIGH,"Use restrictions (high), Persistence and bioaccumulation (moderate), and Non-reproductive organ system toxicity (low)"
OLEYL LACTATE,1,LOW,LOW,LOW,LOW,
POLYSORBATE-65,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
PPG-12-PEG-50 LANOLIN,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
PYRUS CYDONIA (QUINCE) SEED EXTRACT,1,LOW,LOW,LOW,LOW,"Multiple, additive exposure sources (low)"
ARTEMISIA ABSINTHIUM (MUGWORT) EXTRACT,1,LOW,LOW,LOW,LOW,
COCAMIDOPROPYL PG-DIMONIUM CHLORIDE,4,LOW,HIGH,LOW,LOW,"Neurotoxicity (low), Endocrine disruption (low), and Non-reproductive organ system toxicity (moderate)"
GARDENIA FLORIDA FLOWER EXTRACT,1,LOW,LOW,LOW,LOW,
KIGELIA AFRICANA FRUIT EXTRACT,1,LOW,LOW,LOW,LOW,
PEG-4 OLIVATE,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
PHRAGMITES COMMUNIS EXTRACT,1,LOW,LOW,LOW,LOW,
PPG-24-GLYCERETH-24,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate)
PROPOLIS WAX,1,LOW,LOW,LOW,LOW,
SODIUM LAURETH-11 CARBOXYLATE,2,LOW,LOW,LOW,LOW,Contamination concerns (high)
MAGNOLIA GRANDIFLORA BARK EXTRACT,1,LOW,LOW,LOW,LOW,
ABS PLASTIC,1,LOW,LOW,LOW,LOW,
ALKANNA TINCTORIA (ALKANET) ROOT,1,LOW,LOW,LOW,LOW,
JUNIPERUS COMMUNIS (JUNIPER) OIL,1,LOW,LOW,LOW,LOW,"Non-reproductive organ system toxicity (low) and Irritation (skin, eyes, or lungs) (low)"
MANNAN,1,LOW,LOW,LOW,LOW,
MYRISTATE,1,LOW,LOW,LOW,LOW,
POLYGLYCERYL-10 DECAOLEATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
RUBUS IDAEUS (RED RASPBERRY) OIL,1,LOW,LOW,LOW,LOW,
ULMUS RUBRA (SLIPPERY ELM),1,LOW,LOW,LOW,LOW,
ANOGEISSUS LEIOCARPUS BARK EXTRACT,1,LOW,LOW,LOW,LOW,
CALCIUM PCA,1,LOW,LOW,LOW,LOW,
CAPRYLYL GLYCERYL ETHER,1,LOW,LOW,LOW,LOW,
DIHYDROXYETHYL COCAMINE OXIDE,1,LOW,LOW,LOW,LOW,
LAURYL DIMETHICONE,1,LOW,LOW,LOW,LOW,
OCTYLDECANOL,1,LOW,LOW,LOW,LOW,
SAPINDUS MUKUROSSI PEEL EXTRACT,1,LOW,LOW,LOW,LOW,
cis-3-HEXENYL ACETATE,1,LOW,LOW,LOW,LOW,
